DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-09-22 19:15:03.709759,6,252,642,239,384,359,127,457
2018-09-22 19:30:00.790988,6,239,640,227,382,359,121,466
2018-09-22 19:45:00.778377,6,225,645,209,387,367,119,460
2018-09-22 20:00:00.750137,6,221,665,208,385,364,114,454
2018-09-22 20:15:06.409239,6,235,696,225,415,383,115,468
2018-09-22 20:30:00.756161,6,271,784,274,400,371,124,468
2018-09-22 20:45:00.837298,6,305,862,339,400,371,130,486
2018-09-22 21:00:00.777842,6,370,990,438,402,373,131,510
2018-09-22 21:15:00.765229,6,487,1133,552,415,407,142,537
2018-09-22 21:30:02.955678,6,611,1302,682,442,461,155,574
2018-09-22 21:45:00.724377,6,760,1488,833,501,528,180,610
2018-09-22 22:00:09.336481,6,953,1729,1060,596,630,212,654
2018-09-22 22:15:01.246025,6,1186,2024,1323,762,812,238,697
2018-09-22 22:30:00.795919,6,1363,2226,1507,866,932,248,740
2018-09-22 22:45:07.658079,6,1457,2329,1615,927,996,254,751
2018-09-22 23:00:00.755061,6,1504,2384,1666,980,1059,262,761
2018-09-22 23:15:00.804978,6,1523,2427,1718,1003,1084,268,769
2018-09-22 23:30:07.807772,6,1554,2435,1666,1017,1095,269,773
2018-09-22 23:45:00.795378,6,1568,2435,1686,1017,1095,269,773
2018-09-23 00:00:00.751515,7,1599,2435,1707,1017,1095,269,773
2018-09-23 00:15:03.473181,7,1611,2435,1724,1017,1095,269,773
2018-09-23 00:30:07.897943,7,1652,2435,1743,1017,1095,269,773
2018-09-23 00:45:01.244926,7,1685,2435,1775,1017,1095,269,773
2018-09-23 01:00:04.997811,7,1701,2435,1780,1017,1095,269,773
2018-09-23 01:15:02.032166,7,1711,2435,1790,1017,1095,269,773
2018-09-23 01:30:00.800835,7,1719,2435,1798,1017,1095,269,773
2018-09-23 01:45:00.788254,7,1725,2435,1799,1017,1095,269,773
2018-09-23 02:00:12.368976,7,1734,2435,1798,1017,1095,269,773
2018-09-23 02:15:04.934778,7,1736,2435,1800,1017,1095,269,773
2018-09-23 02:30:02.594101,7,1755,2435,1803,1017,1095,269,773
2018-09-23 02:45:01.503394,7,1761,2435,1806,1017,1095,269,773
2018-09-23 03:00:00.756437,7,1642,2435,1813,1017,1095,269,773
2018-09-23 03:15:00.759437,7,1771,2435,1817,1017,1095,269,773
2018-09-23 03:30:00.762460,7,1772,2435,1820,1017,1095,269,773
2018-09-23 03:45:08.621824,7,1773,2435,1820,1017,1095,269,773
2018-09-23 04:00:00.765712,7,1774,2435,1819,1017,1095,269,773
2018-09-23 04:15:00.768723,7,1775,2435,1820,1017,1095,269,773
2018-09-23 04:30:00.756110,7,1775,2435,1820,1017,1095,269,773
2018-09-23 04:45:00.743497,7,1775,2435,1819,1017,1095,269,773
2018-09-23 05:00:00.777729,7,1775,2435,1820,1017,1095,269,773
2018-09-23 05:15:00.749552,7,1776,2435,1821,1017,1095,269,773
2018-09-23 05:30:00.736939,7,1776,2435,1822,1017,1095,269,773
2018-09-23 05:45:00.739951,7,1774,2435,1822,1017,1095,269,773
2018-09-23 06:00:00.789850,7,1774,2435,1821,1017,1095,269,773
2018-09-23 06:15:00.745974,7,1774,2435,1821,1017,1095,269,773
2018-09-23 06:30:00.780235,7,1775,2435,1821,1017,1095,269,773
2018-09-23 06:45:00.751997,7,1775,2435,1814,1017,1095,269,773
2018-09-23 07:00:00.755000,7,1774,2435,1805,1017,1095,269,773
2018-09-23 07:15:00.820522,7,1773,2435,1805,1017,1095,269,773
2018-09-23 07:30:02.057877,7,1766,2435,1809,1017,1095,269,773
2018-09-23 07:45:00.779701,7,1764,2435,1805,1017,1095,269,773
2018-09-23 08:00:00.782713,7,1754,2435,1802,1017,1095,269,773
2018-09-23 08:15:00.770100,7,1742,2435,1800,1017,1095,269,773
2018-09-23 08:30:00.773112,7,1714,2525,1793,1454,1464,297,800
2018-09-23 08:45:00.760502,7,1686,2490,1828,1432,1448,296,789
2018-09-23 09:00:00.794761,7,1650,2446,1785,1404,1429,294,783
2018-09-23 09:15:08.110052,7,1608,2391,1736,1379,1394,294,772
2018-09-23 09:30:04.988159,7,1532,2349,1641,1332,1344,291,765
2018-09-23 09:45:01.710014,7,1425,2246,1510,1274,1282,288,755
2018-09-23 10:00:01.541183,7,1293,2098,1301,1195,1209,277,737
2018-09-23 10:15:00.762976,7,1128,1951,1078,1131,1129,261,714
2018-09-23 10:30:01.625333,7,989,1783,875,1054,1042,253,698
2018-09-23 10:45:01.050219,7,840,1619,682,992,956,241,675
2018-09-23 11:00:01.537605,7,725,1471,560,916,860,219,648
2018-09-23 11:15:00.775025,7,625,1317,432,850,790,201,622
2018-09-23 11:30:01.574879,7,515,1157,292,785,729,193,593
2018-09-23 11:45:00.749797,7,438,992,232,707,669,171,560
2018-09-23 12:00:01.518402,7,369,832,182,627,607,162,535
2018-09-23 12:15:00.802701,7,296,707,145,539,529,148,508
2018-09-23 12:30:01.493209,7,213,625,122,453,448,128,474
2018-09-23 12:45:00.793127,7,150,542,95,386,376,106,453
2018-09-23 13:00:01.592982,7,108,465,59,328,319,97,424
2018-09-23 13:15:00.783526,7,57,374,34,268,261,81,398
2018-09-23 13:30:01.536508,7,40,309,20,222,216,67,382
2018-09-23 13:45:00.773927,7,33,270,30,187,182,60,355
2018-09-23 14:00:01.573782,7,27,234,42,155,149,55,333
2018-09-23 14:15:00.795573,7,31,199,24,132,130,51,321
2018-09-23 14:30:01.532900,7,38,192,19,128,116,53,315
2018-09-23 14:45:00.770348,7,47,151,34,100,87,49,309
2018-09-23 15:00:01.601485,7,46,146,35,85,73,48,310
2018-09-23 15:15:00.791994,7,46,151,FULL,71,63,52,302
2018-09-23 15:30:01.591882,7,52,183,40,75,63,51,310
2018-09-23 15:45:00.766801,7,53,186,45,68,66,47,323
2018-09-23 16:00:01.597907,7,57,205,28,72,70,43,321
2018-09-23 16:15:00.804075,7,48,237,31,63,62,45,315
2018-09-23 16:30:01.603930,7,87,258,69,82,84,64,336
2018-09-23 16:45:00.778849,7,119,291,69,86,80,69,362
2018-09-23 17:00:01.594329,7,151,364,90,86,88,78,369
2018-09-23 17:15:00.816123,7,
2018-09-23 17:30:01.584760,7,218,518,155,148,137,102,397
2018-09-23 17:45:00.790897,7,261,540,159,172,161,110,414
2018-09-23 18:00:01.559540,7,285,579,202,201,195,112,431
2018-09-23 18:15:00.781331,7,334,612,224,241,225,115,439
2018-09-23 18:30:01.581181,7,365,676,290,301,269,112,456
2018-09-23 18:45:00.771725,7,394,720,305,316,298,118,464
2018-09-23 20:30:01.120934,7,555,1231,558,479,475,188,582
2018-09-23 20:45:00.873982,7,623,1393,664,517,508,204,599
2018-09-23 21:00:01.501969,7,699,1537,760,564,560,218,619
2018-09-23 21:15:00.942509,7,817,1691,907,612,609,231,639
2018-09-23 21:30:01.414232,7,946,1879,1059,671,685,256,669
2018-09-23 21:45:00.948527,7,1010,1964,1166,722,749,268,686
2018-09-23 22:00:00.982786,7,1010,1964,1166,722,749,268,686
2018-09-23 22:15:00.876423,7,1398,2334,1602,980,1031,292,757
2018-09-23 22:30:09.051059,7,1506,2447,1692,1077,1147,300,775
2018-09-23 22:45:00.882447,7,1567,2505,1730,1106,1182,304,789
